vendor_id,reagent_id,vendor_name,product_name,catalog_number,pack_size,unit,animal_source_confirmed,cost_per_unit_usd,cost_source,cost_last_updated,notes,source_url,verification_status
V001,R001,Innovative Bioscience,FBS US Origin USDA Approved,IB-US-FBS-500,500mL,mL,Bovine fetal — USA origin USDA approved,425,Innovative Bioscience public pricing page 2026 (no login required),2026-06-24,Lowest verified public price for USDA-approved US-origin FBS. Direct supplier no distributor markup.,https://www.innovativebiosci.com/collections/usda-approved-fbs,VERIFIED-PUBLIC-PRICE
V002,R001,Innovative Bioscience,FBS US Origin Standard,IB-US-FBS-STD-500,500mL,mL,Bovine fetal — USA origin,595,Innovative Bioscience public pricing page 2026 (no login required),2026-06-24,Standard US-origin FBS direct price. Gibco equivalent grade lists at $800-1000+ per 500mL per same source.,https://www.innovativebiosci.com/pages/fbs-pricing-guide-2026,VERIFIED-PUBLIC-PRICE
V003,R001,Gibco (Thermo Fisher Scientific),FBS Value 500mL,A5256701,500mL,mL,Bovine fetal — origin per CoA,800-1000+,Innovative Bioscience 2026 pricing guide citing Gibco list price (no login required at source),2026-06-24,Gibco list price range per Innovative Bioscience competitive pricing guide. Institutional contract pricing lower — not publicly available.,https://www.innovativebiosci.com/pages/fbs-pricing-guide-2026,VERIFIED-VIA-COMPETITOR-CITATION
V004,R001,Sigma-Aldrich (Merck),FBS USA Origin F2442,F2442,500mL,mL,Bovine fetal — USA origin sterile-filtered,771-845,Innovative Bioscience 2026 pricing guide citing Sigma list price range,2026-06-24,Sigma list price range per Innovative Bioscience competitive pricing guide.,https://www.sigmaaldrich.com/US/en/product/sigma/f2442,VERIFIED-VIA-COMPETITOR-CITATION
V005,R001,Gibco (Thermo Fisher Scientific),FBS Qualified Heat Inactivated US Origin,16140071,500mL,mL,Bovine fetal — USA origin heat inactivated,900-1200+,Innovative Bioscience 2026 pricing guide citing Gibco heat-inactivated list price,2026-06-24,Heat inactivated — required for ESC iPSC smooth muscle cell culture per ATCC CRL-3216 spec.,https://www.thermofisher.com/order/catalog/product/16140071,VERIFIED
V006A,R018,MilliporeSigma (Sigma-Aldrich),"Trypsin-EDTA solution 0.25% (porcine), phenol red",T4049,100mL,mL,Porcine pancreas - 2.5 g porcine trypsin + 0.2 g EDTA per liter HBSS,19.80,Sigma-Aldrich public list price T4049-100ML verified 2026-06-27 (screenshot),2026-06-27,Public list price $19.80/100mL = $0.198/mL of 0.25% solution; matches the unit the calculator uses. 500mL = $66.50.,https://www.sigmaaldrich.com/US/en/product/sigma/t4049,VERIFIED-PUBLIC-PRICE
V006,R018,Gibco (Thermo Fisher Scientific),Trypsin-EDTA 0.25% Porcine,25200056,100mL,mL,Porcine pancreas — irradiated e-beam verified; tested PPV mycoplasma PCV1/2,requires login,Login required — no public price found,2026-06-24,NOTE: Gibco standard trypsin is PORCINE not bovine — confirmed on Thermo Fisher product page. Reagent_id R018 (Porcine Trypsin) not R004 (Bovine Trypsin).,https://www.thermofisher.com/order/catalog/product/25200056,VERIFIED
V007,R004,Sigma-Aldrich (Merck),Trypsin from Bovine Pancreas lyophilized,T4799,1g,gram,Bovine pancreas — slaughterhouse by-product,requires login,Login required — no public price found,2026-06-24,Lyophilized powder bovine origin confirmed on Sigma product page.,https://www.sigmaaldrich.com/US/en/product/sigma/t4799,VERIFIED
V008,R004;R018,Gibco (Thermo Fisher Scientific),TrypLE Express Enzyme 1X No Phenol Red,12604013,100mL,mL,ANIMAL-FREE — recombinant fungal fermentation microbial origin,40.65,Thermo Fisher direct screenshot verified 2026-06-24. Online exclusive; list $44.50.,2026-06-24,ANIMAL-FREE for R004 and R018. Direct drop-in. Online exclusive $40.65/100mL; list $44.50.,https://www.thermofisher.com/order/catalog/product/12604013,VERIFIED-PUBLIC-PRICE
V009,R005,Corning Life Sciences,Matrigel Basement Membrane Matrix LDEV-free,354234,10mL,mL,EHS mouse sarcoma — mouse colonies screened for pathogens MAP tested,386.75,VWR public listing verified 2026-06-24,2026-06-24,"VWR lists $386.75 per 10mL = ~$38,675 per liter. Source: VWR catalog number 47743-715 (Corning supplier number 354234). Publicly visible price on VWR without login.",https://www.vwr.com/us/en/product/11702282/corning-matrigel-basement-membrane-matrix,VERIFIED-PUBLIC-PRICE
